"alpha_base","gamma_active","gamma_car1","gamma_car2","gamma_car3plus","gamma_pubtransp","gamma_ridehail","delta_active","delta_car1","delta_car2","delta_car3plus","delta_pubtransp","delta_ridehail","logLike"
0,1,1,1,1,1,1,0,0,0,0,0,0,-190027.777274917
0,1,1,1,1,1,1,0,0,0,0,0,0,-190027.777274917
0,1,1,1,1,1,1,0,0,0,0,0,0,-190027.777274917
2.07591849192977,0.953762907534838,1.72235131636262,1.26186086423695,1.07042764872313,1.06671239435673,1.01914028078318,0.408004768192768,1.22430529817939,-0.0199669189751148,-0.528461791574955,-0.45305703021586,-0.630824325606227,-126230.471793395
1.957845857599,0.700139356002289,1.7320054990275,1.29144231380922,1.0815083689199,1.06803256703801,1.01889377680511,0.661227942312357,1.30262899379345,0.0813294199025367,-0.660186601873767,-0.560846866206681,-0.824152888943296,-123299.057786008
1.90254510566471,0.04211186904928,1.74296752982252,1.35507394460135,1.10755725221881,1.07621751071504,1.02043790907816,0.669326887180058,1.41580343914878,0.233632397098516,-0.732529431193217,-0.594684088513912,-0.991549200430196,-120117.66508247
1.90507562708951,0.0465150837436199,1.73182053186157,1.38152415086538,1.11958801275886,1.07976778536914,1.02114774268313,0.651256591898454,1.4075228543758,0.286880602172707,-0.733474790378598,-0.580872826755144,-1.03131242581577,-120051.906682696
1.92493756821954,0.0399285802698737,1.70764969274534,1.41729777046448,1.13738959672625,1.08473831123895,1.02221544680218,0.663526491993526,1.37719000134303,0.296774389886016,-0.720723021741252,-0.554790596660127,-1.06197725628791,-120022.606490836
1.9221984775855,0.0434491532679817,1.53521601625334,1.65504078874774,1.26029848555844,1.11612253340937,1.02890220819797,0.665672038901126,1.42092314348303,0.228209882808217,-0.651445643930344,-0.42435978279865,-1.23899959238604,-119942.911207374
1.9681399311802,0.0406598543074854,0.982188890360105,2.47452602899932,1.72520566702558,1.22711876096731,1.05776965859861,0.67579383661364,1.46871888631706,0.248932112634182,-0.606172259466902,-0.642596956757367,-1.1446754120067,-119890.314372034
1.95299448263095,0.0418981963630599,0.984634794968086,2.6195144512947,1.81956833327074,1.24836347598221,1.06385218359345,0.678496536461202,1.46314954534976,0.242876973589683,-0.667295287940619,-0.614897930048567,-1.10232958769412,-119847.19426734
1.92471152601713,0.0441533264359583,1.05601780352231,2.7464687625579,1.91991850085152,1.26758594536323,1.07041307281923,0.6808664284871,1.44862492629028,0.231988206460819,-0.640441636429327,-0.631366591088791,-1.08967103870788,-119812.824927798
1.97434716862736,0.0467838606767902,1.03864644627552,1.65366943335806,5.03022198489384,1.34215971653115,1.33328856672807,0.72308602576916,1.43671601116887,0.236141711683654,-0.65039797527779,-0.620934813632047,-1.1246124783632,-119619.358315348
1.98881704836343,0.0472186164759714,1.03878287021789,1.67916103542223,4.98499794854554,1.08997747495616,1.27190117567381,0.732403721858442,1.43205781327833,0.232807057641814,-0.653025362795985,-0.62014664003307,-1.12409903645636,-119549.882650673
2.02776556194161,0.050966897246925,1.03489792411144,1.74462427136451,4.34736404792103,1.5105598913371,1.00479238576302,0.779323351734784,1.40986479145063,0.215945761652152,-0.657885767448175,-0.625030864290885,-1.12222378517434,-119282.253795961
1.99777769669831,0.0612417509951634,1.32141964911674,2.38251812547699,2.81066845732668,1.65844049296852,8.54578294199426,0.901955097084662,1.4112608922605,0.236534010844007,-0.727471891504041,-0.623308300725937,-1.19898962542176,-118547.854664057
1.95976896020411,0.0608678068487162,1.89769764091723,2.82639543451574,4.32587278430752,1.69454003483136,4.57873414381567,0.975267821190054,1.50238275886401,0.35909196176551,-0.87344176885,-0.624949210539636,-1.33839150655658,-117376.118122376
1.95306751397656,0.0615476063202681,2.12581896097511,3.11291808968662,4.84550187069699,1.74615997293979,2.65868913792131,1.0085238186411,1.5291657061129,0.386491113995091,-0.89594634088672,-0.628073181603783,-1.400224003174,-116999.555466446
1.9431312112466,0.0633695991925757,2.4141976771406,3.52770559225854,5.46111339323479,1.8243082254411,0.939322911385309,1.04257901906615,1.55090965360486,0.408160790262382,-0.908467614761752,-0.62816118573317,-1.46506963548469,-116641.733984772
1.80553818937408,0.0983553832737958,5.22683359385823,8.15399365262034,9.82616675181653,2.6323530187629,7.12610491094395,1.43346341521232,1.7313008495006,0.570427276364238,-0.968039668073819,-0.643147811031163,-2.12409769279333,-115179.965672333
1.71160761789768,0.106493999985549,6.16518924898659,9.76199156456259,11.5259980854079,2.85710551407996,7.10790124692634,1.33604599106662,1.76376882365532,0.620796102464811,-0.954569810632455,-0.585695256508103,-2.18057921304456,-114603.341086522
1.55341539809304,0.123016446724555,8.56933453200567,13.6977884574213,16.1349180917485,3.37133097736522,7.10411422696772,1.2215382008894,1.7652885500789,0.639724170471143,-0.896659038218734,-0.486128706545529,-2.2443941643831,-113839.749723289
1.41214478136158,0.142597858133211,12.0111869049623,19.2013910615699,22.8210910507687,4.04513427548135,6.97958243331453,1.14768419562801,1.72533667518358,0.604122495499016,-0.817885656743945,-0.438490473087527,-2.22185417938491,-113065.334006258
1.23461937478657,0.175321073423935,18.5224957866447,29.5037238348595,35.4857134843165,5.24984330188363,6.65443753450353,1.1035070393279,1.63976377766205,0.51994057883137,-0.742422070838179,-0.471263019800901,-2.05137856670822,-111940.118381969
